Adjectives,Subject,Time Period,Region,About (Buzzword),About,Professor Adjective,Who,For,Other,Class
,,,,,,,,,,BIOS 25205 Microbiology Laboratory
,,,,,,,,,,BIOS 25206 Fundamentals of Bacterial Physiology
,,,,,,,,,,BIOS 25216 Molecular Basis of Bacterial Diseases
,,,,,,,,,,BIOS 25226 Endocrinology I: Cell Signaling
,,,,,,,,,,BIOS 25227 Endocrinology II: Systems and Physiology
,,,,,,,,,,BIOS 25228 Endocrinology III: Human Disease
,,,,,,,,,,BIOS 25246 Infections and Immunity
,,,,,,,,,,BIOS 25256 Immunobiology
,,,,,,,,,,BIOS 25258 Immunopathology
,,,,,,,,,,BIOS 25260 Host Pathogen Interactions
,,,,,,,,,,BIOS 25266 Molecular Immunology
,,,,,,,,,,BIOS 25287 Introduction to Virology
,,,,,,,,,,BIOS 25407 Organ Transplantation
,,,,,,,,,,BIOS 25418 Systems Biology of Cancer
,,,,,,,,,,BIOS 26400 Introduction to Bioinformatics
,,,,,,,,,,BIOS 28407 Genomics and Systems Biology
,,,,,,,,,,BIOS 29100 Biology of Toxoplasma
,,,,,,,,,,BIOS 29280 Developmental Psychopathology
,,,,,,,,,,BIOS 29286 Biological and Cultural Evolution
,,,,,,,,,,BIOS 29294 Introduction to Global Health
,,,,,,,,,,BIOS 29308 Pharmacogenomics
,,,,,,,,,,BIOS 29317 Issues in Women's Health
,,,,,,,,,,BIOS 29318 Principles of Epidemiology
,,,,,,,,,,BIOS 29319 What Genomes Teach About Evolution
,,,,,,,,,,BIOS 29320 Introduction to History and Philosophy of Biology
,,,,,,,,,,BIOS 29322 The Role of Animals in Modern Society
,,,,,,,,,,BIOS 29326 Introduction to Medical Physics and Medical Imaging
,,,,,,,,,,BIOS 29408 Signal Analysis and Modeling for Neuroscientists
,,,,,,,,,,BPRO 23500 The Organization of Knowledge
,,,,,,,,,,CATA 12200 Catalan for Speakers of Romance Languages
,,,,,,,,,,CATA 13100 Catalan for Reading and Research Purposes
,,,,,,,,,,CATA 21900 Introduction to Contemporary Catalan Literature
,,,,,,,,,,CHDV 20000 Introduction to Human Development
,,,,,,,,,,CHDV 20100 Human Development/Research Designs in Social Sciences
,,,,,,,,,,CHDV 20101 Applied Statistics in Human Development Research
,,,,,,,,,,CHDV 20104 The Second Half of Life: Person and Social Context
,,,,,,,,,,CHDV 20129 Economic Development in the Inner City
,,,,,,,,,,CHDV 20206 Anthropology of Language
,,,,,,,,,,"CHDV 20207 Race, Ethnicity, and Human Development"
,,,,,,,,,,CHDV 20209 Adolescent Development
,,,,,,,,,,CHDV 20304 Urban Neighborhoods &amp; Urban Schools: Community Economic Opportunity and the Schools
,,,,,,,,,,CHDV 20405 Pornography and Language
,,,,,,,,,,CHDV 21000 Cultural Psychology
,,,,,,,,,,CHDV 21500 Darwinian Health
,,,,,,,,,,CHDV 23204 Medical Anthropology
,,,,,,,,,,CHDV 24102 On Love: Classical Modern Perspectives
,,,,,,,,,,CHDV 27317 America's White Ethnics: Contemporary Italian- and Jewish-American Ethnic Identities
,,,,,,,,,,CHDV 27700 Modern Psychotherapies
,,,,,,,,,,CHDV 29700 Undergraduate Reading and Research
,,,,,,,,,,CHDV 29800 BA Honors Seminar
,,,,,,,,,,CHDV 29900 Honors Paper Preparation
,,,,,,,,,,"CHDV 30117 Transnational Kinship, Intimacy and Migration"
,,,,,,,,,,CHDV 30302 Problems of Public Policy Implementation
,,,,,,,,,,CHDV 30304 Urban Neighborhoods and Urban Schools: Community Economic Opportunity and the Schools
,,,,,,,,,,CHDV 30405 Anthropology of Disability
,,,,,,,,,,"CHDV 31901 Language, Culture, and Thought"
,,,,,,,,,,"CHDV 32212 Love, Capital and Conjugality: Africa and India in Comparative Perspective"
,,,,,,,,,,"CHDV 32411 Mediation, Moderation, and Spillover Effects"
,,,,,,,,,,CHDV 37103 Collective Memory: The Politics of the Past
,,,,,,,,,,CHDV 37104 Adulthood and Aging
,,,,,,,,,,CHEM 10100 Introductory General Chemistry I
,,,,,,,,,,CHEM 10200 Introductory General Chemistry II
,,,,,,,,,,CHEM 11300 Comprehensive General Chemistry III
,,,,,,,,,,CHEM 22700 Advanced Organic/Inorganic Laboratory
,,,,,,,,,,CHEM 23300 Intermediate Organic Chemistry: Biological Chemistry
,,,,,,,,,,CHEM 26700 Experimental Physical Chemistry
,,,,,,,,,,CHEM 26800 Computational Chemistry and Biology
,,,,,,,,,,CHEM 29900 Advanced Research in Chemistry
,,,,,,,,,,CHEM 30100 Advanced Inorganic Chemistry
,,,,,,,,,,CHEM 30200 Synthesis and Physical Methods in Inorganic Chemistry
,,,,,,,,,,CHEM 30400 Organometallic Chemistry
,,,,,,,,,,CHEM 30500 Nanoscale Materials
,,,,,,,,,,CHEM 30600 Chemistry of the Elements
,,,,,,,,,,CHEM 30900 Bioinorganic Chemistry
,,,,,,,,,,CHEM 31100 Supramolecular Chemistry
,,,,,,,,,,CHEM 32100 Physical Organic Chemistry I
,,,,,,,,,,CHEM 32200 Organic Synthesis and Structure
,,,,,,,,,,CHEM 32300 Tactics of Organic Synthesis
,,,,,,,,,,CHEM 32400 Physical Organic Chemistry II
,,,,,,,,,,CHEM 32500 Bioorganic Chemistry
,,,,,,,,,,CHEM 32900 Polymer Chemistry
,,,,,,,,,,CHEM 33000 Complex Chemical Systems
,,,,,,,,,,CHEM 33100 New Synthetic Reactions and Catalysts
,,,,,,,,,,CHEM 33400 High-Throughput Methods in Chemistry
,,,,,,,,,,CHEM 36100 Wave Mechanics and Spectroscopy
,,,,,,,,,,CHEM 36200 Quantum Mechanics
,,,,,,,,,,CHEM 36300 Statistical Thermodynamics
,,,,,,,,,,CHEM 36400 Advanced Statistical Mechanics
,,,,,,,,,,CHEM 36500 Chemical Dynamics
,,,,,,,,,,CHEM 36800 Advanced Computational Chemistry and Biology
,,,,,,,,,,CHEM 36900 Materials Chemistry
,,,,,,,,,,CHEM 37100 Advanced Spectroscopies
,,,,,,,,,,CHEM 37200 Statistical Mechanics of Polymers/Glasses
,,,,,,,,,,CHEM 38700 Biophysical Chemistry
,,,,,,,,,,CHEM 51100 Scientific Methods and Ethics
,,,,,,,,,,CHIN 40800 Readings in Literary Chinese I
,,,,,,,,,,CHIN 41900 Early Chinese Texts and Sociological Research
,,,,,,,,,,CLCV 21200 History and Theory of Drama I
,,,,,,,,,,CLCV 21807 Greek Art &amp; Archaeology
,,,,,,,,,,CLCV 22000 Greek Tragedy/Its Influences
,,,,,,,,,,CLCV 22100 Epictetus/Marcus Aurelius
,,,,,,,,,,CLCV 22510 Mimesis
,,,,,,,,,,CLCV 22611 History of Strategy
,,,,,,,,,,CLCV 23411 War in the Hellenistic World
,,,,,,,,,,CLCV 23707 Pompeii
,,,,,,,,,,CLCV 24200 Invention Of Love Poem
,,,,,,,,,,"CLCV 24306 Byzantine History, 330 to 610"
,,,,,,,,,,"CLCV 24307 Byzantine History, 610 to 1025"
,,,,,,,,,,CLCV 24309 Byzantium and Islam
,,,,,,,,,,"CLCV 24311 Byzantine Empire, 1025-1453"
,,,,,,,,,,CLCV 24406 War and Society in Graeco Roman World
,,,,,,,,,,CLCV 24506 Alexander the Great
,,,,,,,,,,CLCV 24508 Economy and Society in Ancient Greece and Rome
,,,,,,,,,,CLCV 24810 Urban Life and Social Structure in Imperial Rome
,,,,,,,,,,CLCV 24910 All About Varro
,,,,,,,,,,CLCV 25210 Slavery in Ancient Greece and Rome
,,,,,,,,,,CLCV 25507 Ancient Greek Mystery Cults
,,,,,,,,,,CLCV 25510 Homer's Odyssey
,,,,,,,,,,CLCV 26010 Ancient Caravan Cities
,,,,,,,,,,CLCV 26011 Ancient Views of the Economy
,,,,,,,,,,CLCV 26306 Roman Visual Culture
,,,,,,,,,,"CLCV 26311 Roman Technologies, Machines, and Merchants"
,,,,,,,,,,CLCV 26811 Plotinus
,,,,,,,,,,CLCV 27311 Oracles and Divination
,,,,,,,,,,CLCV 28300 Ephron Seminar
,,,,,,,,,,CLCV 29100 Ancient Myth
,,,,,,,,,,CLCV 29800 BA Paper Seminar
,,,,,,,,,,CMLT 20361 Samak-e 'Ayyar
,,,,,,,,,,CMLT 20800 Brecht and Beyond
,,,,,,,,,,CMLT 21202 Decolonizing Drama and Performance in Africa
,,,,,,,,,,CMLT 21800 Fantasy and Science Fiction
,,,,,,,,,,CMLT 22400 History of International Cinema I: Silent Era
,,,,,,,,,,CMLT 22500 History of International Cinema II: Sound Era to 1960
,,,,,,,,,,CMLT 22601 Cinema from the Balkans
,,,,,,,,,,CMLT 23201 Returning the Gaze: The Balkans and Western Europe
,,,,,,,,,,CMLT 23301 Balkan Folklore
,,,,,,,,,,CMLT 23401 The Burden of History: A Nation and Its Lost Paradise
,,,,,,,,,,CMLT 23702 Making a Scene
,,,,,,,,,,CMLT 24011 Exile and Authorship in the Medieval Romance Literatures
,,,,,,,,,,"CMLT 24790 Self-Transformation and Political Resistance:  Michel Foucault, Pierre Hadot, Primo Levi, Martin Luther King, Jr"
,,,,,,,,,,CMLT 25102 Problems Around Foucault
,,,,,,,,,,CMLT 25900 Medieval Epic
,,,,,,,,,,CMLT 26000 Medieval Vernacular Literature in the British Isles
,,,,,,,,,,CMLT 26001 Realism &amp; Anti-Realism in Post-Holocaust Hebrew Literature
,,,,,,,,,,CMLT 26600 Ren/Lit Imagination
,,,,,,,,,,CMLT 26601 Hamlet and Critical Methods
,,,,,,,,,,CMLT 27402 Contemporary Chinese Writers and the Literary Field
,,,,,,,,,,CMLT 28101 Don Quixote
,,,,,,,,,,CMLT 28401 Comparative Metrics
,,,,,,,,,,CMLT 28711 Nietzsche
,,,,,,,,,,CMLT 29100 Renaissance Epic
,,,,,,,,,,CMLT 29700 Reading Course
,,,,,,,,,,CMLT 29801 BA Project and Workshop: Comparative Literature
,,,,,,,,,,CMSC 10100 Introduction to Programming for the World Wide Web I
,,,,,,,,,,CMSC 10200 Introduction to Programming for the World Wide Web II
,,,,,,,,,,CMSC 10500 Fundamentals of Computer Programming I
,,,,,,,,,,CMSC 10600 Fundamentals of Computer Programming II
,,,,,,,,,,CMSC 11200 Introduction to Interactive Logic
,,,,,,,,,,CMSC 11710 Networks
,,,,,,,,,,CMSC 15300 Foundations of Software
,,,,,,,,,,CMSC 15400 Introduction to Computer Systems
,,,,,,,,,,CMSC 22100 Programming Languages
,,,,,,,,,,CMSC 22200 Computer Architecture
,,,,,,,,,,CMSC 22300 Functional Programming
,,,,,,,,,,CMSC 22610 Implementation of Computer Languages I
,,,,,,,,,,CMSC 22620 Implementation of Computer Languages II
,,,,,,,,,,CMSC 22630 Advanced Implementation of Computer Languages
,,,,,,,,,,CMSC 23000 Operating Systems
,,,,,,,,,,CMSC 23300 Networks and Distributed Systems
,,,,,,,,,,CMSC 23310 Advanced Distributed Systems
,,,,,,,,,,CMSC 23340 Grid Computing
,,,,,,,,,,CMSC 23500 Introduction to Database Systems
,,,,,,,,,,CMSC 23700 Introduction to Computer Graphics
,,,,,,,,,,CMSC 23800 Game Construction
,,,,,,,,,,CMSC 25010 Artificial Intelligence
,,,,,,,,,,CMSC 25020 Computational Linguistics
,,,,,,,,,,CMSC 25030 Computational Models of Speech
,,,,,,,,,,CMSC 25040 Introduction to Computer Vision
,,,,,,,,,,CMSC 27200 Theory of Algorithms
,,,,,,,,,,CMSC 27410 Honors Combinatorics
,,,,,,,,,,CMSC 27500 Graph Theory
,,,,,,,,,,CMSC 27600 Computational Biology
,,,,,,,,,,CMSC 27610 Digital Biology
,,,,,,,,,,CMSC 27700 Mathematical Logic I
,,,,,,,,,,CMSC 27800 Mathematical Logic II
,,,,,,,,,,CMSC 28000 Introduction to Formal Languages
,,,,,,,,,,CMSC 28100 Introduction to Complexity Theory
,,,,,,,,,,CMSC 28501 Topics in Scientific Computing
,,,,,,,,,,CMSC 28510 Introduction to Scientific Computing
,,,,,,,,,,CMSC 29700 Reading and Research in Computer Science
,,,,,,,,,,CMSC 29900 Bachelor's Thesis
,,,,,,,,,,CMSC 31100 Big Ideas in Computer Science
,,,,,,,,,,CMSC 32001 Topics in Programming Languages
,,,,,,,,,,CMSC 32201 Topics in Computer Architecture
,,,,,,,,,,CMSC 33501 Topics in Databases
,,,,,,,,,,CMSC 33600 Type Systems for Programming Languages
,,,,,,,,,,CMSC 33710 Scientific Visualization
,,,,,,,,,,CMSC 34000 Scientific Parallel Computing
,,,,,,,,,,CMSC 34200 Numerical Hydrodynamics
,,,,,,,,,,CMSC 34710 Wireless Sensor Networks
,,,,,,,,,,CMSC 35000 Introduction to Artificial Intelligence
,,,,,,,,,,CMSC 35100 Natural Language Processing
,,,,,,,,,,CMSC 35400 Machine Learning
,,,,,,,,,,CMSC 35500 Computer Vision
,,,,,,,,,,CMSC 35900 Topics in Artificial Intelligence
,,,,,,,,,,CMSC 36500 Algorithms in Finite Groups
,,,,,,,,,,CMSC 37000 Algorithms
,,,,,,,,,,CMSC 37100 Topics in Algorithms
,,,,,,,,,,CMSC 37110 Discrete Mathematics
,,,,,,,,,,CMSC 37200 Combinatorics
,,,,,,,,,,CMSC 37400 Constructive Combinatorics
,,,,,,,,,,CMSC 37701 Topics in Bioinformatics
,,,,,,,,,,CMSC 37720 Computational Systems Biology
,,,,,,,,,,CMSC 37800 Numerical Computation
,,,,,,,,,,CMSC 38300 Numerical Solutions to Partial Differential Equations
,,,,,,,,,,CMSC 38410 Quantum Computing
,,,,,,,,,,CMSC 38500 Computability and Complexity Theory
,,,,,,,,,,CMSC 38512 Kolmogorov Complexity
,,,,,,,,,,CMSC 38600 Complexity Theory A
,,,,,,,,,,CMSC 38700 Complexity Theory B
,,,,,,,,,,CMSC 38815 Geometric Complexity
,,,,,,,,,,CMSC 39000 Computational Geometry
,,,,,,,,,,CMSC 39600 Topics in Theoretical Computer Science
,,,,,,,,,,CMST 10100 Introduction to Film Analysis
,,,,,,,,,,CMST 20101 Women Mystery Writers: From Page to Screen
,,,,,,,,,,CMST 20202 Feminist Theory and Counter-Cinema
,,,,,,,,,,CMST 21801 Chicago Film History
,,,,,,,,,,CMST 21900 American Cinema Since 1961
,,,,,,,,,,"CMST 23000 Neorealism: Space, Culture, History"
,,,,,,,,,,CMST 23001 From La Dolce Vita to the Murder of Pasolini
,,,,,,,,,,CMST 23202 Rome in Literature and Film
,,,,,,,,,,"CMST 23404 French Cinema, 1920s-1930s"
,,,,,,,,,,CMST 23700 La Nouvelle Vague/The French New Wave
,,,,,,,,,,CMST 23801 Bresson Against Cinema
,,,,,,,,,,CMST 23904 Senior Creative Thesis Workshop
,,,,,,,,,,CMST 23930 Documentary Production I
,,,,,,,,,,CMST 23931 Documentary Production II
,,,,,,,,,,CMST 24201 Cinema in Africa
,,,,,,,,,,CMST 24203 Before and after Beckett: Theater and Film
,,,,,,,,,,CMST 24508 Decolonizing Drama and Performance in Africa
,,,,,,,,,,CMST 24606 China’s New Documentary Cinema
,,,,,,,,,,CMST 24611 Cities in Sinophone Cinemas
,,,,,,,,,,CMST 24701 Left-Wing Art and Soviet Film Culture of the 1920s
,,,,,,,,,,"CMST 25201 Cinema and the First Avant-Garde, 1890-1933"
,,,,,,,,,,CMST 25501 Poetic Cinema
,,,,,,,,,,CMST 25514 Symbolism and Cinema
,,,,,,,,,,CMST 27201 Zizek on Film
,,,,,,,,,,CMST 27402 The Modern Body and the Cinema
,,,,,,,,,,CMST 27600 Introduction to Black and White Film Photography
,,,,,,,,,,CMST 27800 Theories of Media
,,,,,,,,,,CMST 28100 Issues in Film Music
,,,,,,,,,,CMST 28200 Nonfiction Film: Representations and Performance
,,,,,,,,,,CMST 28201 Political Documentary Film
,,,,,,,,,,CMST 28800 Introduction to Digital Imaging
,,,,,,,,,,CMST 28900 Introduction to Video
,,,,,,,,,,CMST 28903 Video
,,,,,,,,,,CMST 28920 Introduction to Film Production
,,,,,,,,,,CMST 29700 Reading and Research Course
,,,,,,,,,,CMST 29800 Senior Colloquium
,,,,,,,,,,CMST 29900 BA Research Paper
,,,,,,,,,,CRES 10101 Problems in the Study of Gender
,,,,,,,,,,CRES 10200 Introduction to World Music
,,,,,,,,,,CRES 20100 The Inka and Aztec States
,,,,,,,,,,CRES 20104 Urban Structure and Process
,,,,,,,,,,CRES 20140 Qualitative Field Methods
,,,,,,,,,,CRES 20173 Inequality in American Society
,,,,,,,,,,"CRES 20207 Race, Ethnicity, and Human Development"
,,,,,,,,,,CRES 20400 Intensive Study of a Culture: Lowland Maya History and Ethnography
,,,,,,,,,,CRES 21201 Intensive Study of a Culture: Chicago Blues
,,,,,,,,,,CRES 21264 Intensive Study of a Culture: Political Struggles of Highland Asia
,,,,,,,,,,CRES 21903 Introducción a las literaturas hispánicas: textos hispanoamericanos desde la colonia a la independencia
,,,,,,,,,,CRES 22205 Slavery and Unfree Labor
,,,,,,,,,,"CRES 22701 Poesía, nación y ciudadanía en el siglo XIX hispanoamericano"
,,,,,,,,,,CRES 24110 Buddhism and the West
,,,,,,,,,,CRES 24210 Oral History and the Politics of Memory in Socialist China
,,,,,,,,,,"CRES 24255 Everyday Maoism: Work, Daily Life, and Material Culture in Socialist China"
,,,,,,,,,,CRES 24601 Martin and Malcolm: Life and Belief
,,,,,,,,,,CRES 24706 Edo/Tokyo: Society and the City in Japan
,,,,,,,,,,CRES 24720 The Japanese Empire and Nation Formations in East Asia
,,,,,,,,,,"CRES 24901 Trade, Development, and Poverty in Mexico"
,,,,,,,,,,CRES 25900 South Asia Before the Buddha
,,,,,,,,,,"CRES 26500 History of Mexico, 1876-Present"
,,,,,,,,,,CRES 26801 Race Policy
,,,,,,,,,,CRES 27114 Haitian Revolution and Human Rights
,,,,,,,,,,CRES 27317 America's White Ethnics: Contemporary Italian- and Jewish-American Ethnic Identities
,,,,,,,,,,CRES 27400 Race and Racism in American History
,,,,,,,,,,CRES 27403 African American Lives &amp; Times
,,,,,,,,,,CRES 27600 Comparative Race Studies in Context: Service Learning/Internship Credit
,,,,,,,,,,"CRES 27705 Introduction to Black Chicago, 1893 to 2008"
,,,,,,,,,,CRES 28000 US Latinos: Origins/Histories
,,,,,,,,,,"CRES 28703 Baseball and American Culture, 1840-Present"
,,,,,,,,,,CRES 29302 Human Rights II: History and Theory
,,,,,,,,,,CRES 29626 History Colloquium: Sex and the City in International History
,,,,,,,,,,CRES 29800 BA Colloquium: Theory and Methods in Comparative Race and Ethnic Studies
,,,,,,,,,,CRES 29900 Preparation for the BA Essay
,,,,,,,,,,CRES 31800 Religious Movements in Native North America
,,,,,,,,,,"EALC 14403 Folk Authenticity in the Literature, Culture, and Politics of East Asia and the West"
,,,,,,,,,,EALC 16806 Art of Asia: Japan
,,,,,,,,,,EALC 17107 Chinese Calligraphy
,,,,,,,,,,EALC 17110 Sinotopos: Chinese Landscape Representation and Interpretation
,,,,,,,,,,EALC 17211 Arts of Medieval Japan
,,,,,,,,,,EALC 20101 Skills and Methods in Chinese Painting History
,,,,,,,,,,EALC 20450 Peking Opera
,,,,,,,,,,EALC 22030 Bread and Roses: Literature of Protest in Japan and Elsewhere
,,,,,,,,,,EALC 22470 Survey of Chinese Texts in Archaic Scripts
,,,,,,,,,,EALC 22500 The Rise of Writing in East Asia
,,,,,,,,,,EALC 24110 Buddhism and the West
,,,,,,,,,,EALC 24210 Oral History and the Politics of Memory in Socialist China
,,,,,,,,,,EALC 24250 China in Revolution
,,,,,,,,,,"EALC 24255 Everyday Maoism: Work, Daily Life, and Material Culture in Socialist China"
,,,,,,,,,,EALC 24500 Reading Qing Documents
,,,,,,,,,,EALC 24607 Chinese Independent Documentary Film
,,,,,,,,,,EALC 24706 Edo/Tokyo: Society and the City in Japan
,,,,,,,,,,EALC 24710 Japan and the World in 19th Century Art
,,,,,,,,,,EALC 24720 The Japanese Empire and Nation Formations in East Asia
,,,,,,,,,,EALC 25305 Dream of the Red Chamber and the Culture of Late Imperial China
,,,,,,,,,,EALC 25811 Chinese Buddhism
,,,,,,,,,,EALC 26201 Medicine and Culture in Modern East Asia
,,,,,,,,,,EALC 26206 The Yi Jing
,,,,,,,,,,EALC 27105 Concentrator's Seminar: Issues in East Asian Civilization
,,,,,,,,,,"EALC 27605 Hiroshima, Nagasaki, and Beyond"
,,,,,,,,,,"EALC 29300 Books, Prints, and Texts in Late-Imperial China"
,,,,,,,,,,EALC 40431 Noh Drama
,,,,,,,,,,EALC 40450 Pre-Modern Japanese Bodies
,,,,,,,,,,"EALC 42512 The Painter's Project in Japan, 1750-1930"
,,,,,,,,,,EALC 42610 Imperial Collections of Chinese Painting and Calligraphy
,,,,,,,,,,EALC 44622 Keywords in Chinese Literary and Cultural Criticism
,,,,,,,,,,EALC 44630 The Contemporary Chinese Novel
,,,,,,,,,,EALC 45820 Chinese Buddhist Texts and Thought
,,,,,,,,,,EALC 44630 The Contemporary Chinese Novel
,,,,,,,,,,ECON 17800 Public Policy Analysis
,,,,,,,,,,ECON 19800 Introduction to Microeconomics
,,,,,,,,,,ECON 19900 Introduction to Macroeconomics
,,,,,,,,,,ECON 20000 The Elements of Economic Analysis I
,,,,,,,,,,ECON 20100 The Elements of Economic Analysis II
,,,,,,,,,,ECON 20200 The Elements of Economic Analysis III
,,,,,,,,,,ECON 20300 The Elements of Economic Analysis IV
,,,,,,,,,,ECON 20700 Game Theory and Economic Applications
,,,,,,,,,,ECON 20710 Game Theory: A Formal Approach
,,,,,,,,,,ECON 20800 Theory of Auctions
,,,,,,,,,,ECON 20900 Introduction to Econometrics: Honors
,,,,,,,,,,ECON 21000 Econometrics A
,,,,,,,,,,ECON 21100 Econometrics B
,,,,,,,,,,ECON 21200 Time Series Econometrics
,,,,,,,,,,ECON 21800 Experimental Economics
,,,,,,,,,,ECON 22200 Topics in American Economic History
,,,,,,,,,,ECON 22300 Business Ethics in Historical Perspective
,,,,,,,,,,ECON 22500 Population and the Economy
,,,,,,,,,,ECON 22600 Innovators
,,,,,,,,,,ECON 22650 Creativity
,,,,,,,,,,ECON 22700 Economics and Demography of Marketing
,,,,,,,,,,ECON 23000 Money and Banking
,,,,,,,,,,ECON 23200 Topics in Macroeconomics
,,,,,,,,,,ECON 24000 Introduction to Labor Economics
,,,,,,,,,,ECON 24400 Pay and Performance
,,,,,,,,,,ECON 25000 Introduction to Finance
,,,,,,,,,,ECON 25100 Financial Economics B; Speculative Markets
,,,,,,,,,,ECON 25200 Theory of Financial Decisions
,,,,,,,,,,ECON 25500 Topics in Economic Development
,,,,,,,,,,ECON 25620 Topics in Latin American Economies
,,,,,,,,,,ECON 26010 Introduction to Public Finance
,,,,,,,,,,ECON 26500 Environmental Economics
,,,,,,,,,,ECON 26510 Advanced Topics in Environmental Economics
,,,,,,,,,,ECON 26600 Economics of Urban Policies
,,,,,,,,,,ECON 26700 Economics of Education
,,,,,,,,,,ECON 26800 Energy and Energy Policy
,,,,,,,,,,ECON 27000 Introduction to International Economics
,,,,,,,,,,ECON 27300 Regulation of Vice
,,,,,,,,,,ECON 27700 Health Economics and Public Policy
,,,,,,,,,,ECON 28000 Introduction to Industrial Organization
,,,,,,,,,,ECON 28100 The Economics of Sports
,,,,,,,,,,ECON 28600 Introduction to the Economic Analysis of Law
,,,,,,,,,,ECON 28700 The Economics of Crime
,,,,,,,,,,ECON 29700 Undergraduate Reading and Research
,,,,,,,,,,ECON 29800 Undergraduate Honors Workshop
,,,,,,,,,,EEUR 20900 Structure Of Albanian
,,,,,,,,,,EEUR 23500 The Unbelievable Came True: Magic Realism in the Other Europe
,,,,,,,,,,EEUR 27600 Milan Kundera
,,,,,,,,,,EEUR 23500 The Unbelievable Came True: Magic Realism in the Other Europe
,,,,,,,,,,EGPT 10101 Introduction to Middle Egyptian Hieroglyphs I
,,,,,,,,,,EGPT 10102 Introduction to Middle Egyptian Hieroglyphs II
,,,,,,,,,,EGPT 10103 Middle Egyptian Texts I
,,,,,,,,,,EGPT 10201 Introduction to Coptic
,,,,,,,,,,EGPT 10202 Coptic Texts
,,,,,,,,,,EGPT 20101 Middle Egyptian Texts II
,,,,,,,,,,EGPT 20102 Introduction to Hieratic
,,,,,,,,,,EGPT 20110 Introduction to Old Egyptian
,,,,,,,,,,EGPT 20210 Introduction to Late Egyptian
,,,,,,,,,,EGPT 20211 Late Egyptian Texts
,,,,,,,,,,EGPT 30120 Introduction to Demotic
,,,,,,,,,,EGPT 30121 Demotic Texts
,,,,,,,,,,ENGL 10400 Introduction to Poetry
,,,,,,,,,,ENGL 10700 Introduction to Fiction: The Short Story
,,,,,,,,,,ENGL 10800 Introduction to Film Analysis
,,,,,,,,,,ENGL 11100 Critical Perspectives
,,,,,,,,,,ENGL 11902 The Long History of Nostalgia
,,,,,,,,,,ENGL 13800 History and Theory of Drama I
,,,,,,,,,,ENGL 13900 History and Theory of Drama II
,,,,,,,,,,ENGL 14900 Old English
,,,,,,,,,,ENGL 15000 Old English Poetry
,,,,,,,,,,ENGL 15500 Chaucer: The Canterbury Tales
,,,,,,,,,,ENGL 15800 Medieval Epic
,,,,,,,,,,ENGL 16202 Spenser
,,,,,,,,,,ENGL 16500 Shakespeare I: Histories and Comedies
,,,,,,,,,,ENGL 16600 Shakespeare II: Tragedies and Romances
,,,,,,,,,,ENGL 16711 Hamlet and Critical Methods
,,,,,,,,,,ENGL 16712 The Problems of Self in Renaissance Literature
,,,,,,,,,,"ENGL 16714 English Renaissance Drama: Marlowe, Kyd, Jonson, Webster, Shakespeare"
,,,,,,,,,,ENGL 16909 Drama in Performance; Ben Jonson's Volpone
,,,,,,,,,,ENGL 17501 Milton
,,,,,,,,,,ENGL 17806 Seduction and the Novel: 1760-1830
,,,,,,,,,,ENGL 18910 Theories of the Novel
,,,,,,,,,,ENGL 20102 London Program: Victorian London in Literature and Art
,,,,,,,,,,ENGL 20104 London Program: Monty Python and the Holy Grail: King Arthur
,,,,,,,,,,ENGL 20120 London Program: Slums and Slumming: Late Victorian East End
,,,,,,,,,,ENGL 20215 Wordsworth and Byron
,,,,,,,,,,ENGL 20216 Poetry and Religion
,,,,,,,,,,ENGL 20217 William Blake and the Pre-Raphaelites
,,,,,,,,,,ENGL 20900 Fantasy and Science Fiction
,,,,,,,,,,ENGL 21903 The Victorian Novel
,,,,,,,,,,ENGL 21915 The Politics of Aestheticism
,,,,,,,,,,ENGL 21916 Science and Literary Imagination
,,,,,,,,,,ENGL 21917 Victorian Things: Significant Objects in 19th Century Fiction
,,,,,,,,,,ENGL 22205 Psyche and Literature
,,,,,,,,,,ENGL 22206 Fin de Siecle
,,,,,,,,,,"ENGL 22303 The Art of Fiction: Henry James, 1902-1904"
,,,,,,,,,,ENGL 23500 What's Love Got to Do with It?: The Genres of Modern Romance
,,,,,,,,,,ENGL 23501 The Church on the Brain; the State on the Body
,,,,,,,,,,ENGL 24000 Ulysses
,,,,,,,,,,ENGL 24202 Romantic Fiction and the Historical Novel
,,,,,,,,,,ENGL 24306 Asian American Poetry
,,,,,,,,,,ENGL 24308 The Afterlives of Gandhi
,,,,,,,,,,ENGL 24309 Navigating Global Literature
,,,,,,,,,,ENGL 24400 Brecht and Beyond
,,,,,,,,,,ENGL 24406 &quot;Impossible&quot; Theaters
,,,,,,,,,,ENGL 25403 American West
,,,,,,,,,,ENGL 25407 Emily Dickinson
,,,,,,,,,,ENGL 25408 'Pain—expands the Time': American Elegy
,,,,,,,,,,ENGL 25409 Melville
,,,,,,,,,,ENGL 25502 American Women Writing at the Mid-Century
,,,,,,,,,,ENGL 25600 The Poet In The Novel
,,,,,,,,,,ENGL 25925 Flux Americana: Tramps and Tramping in American Literature
,,,,,,,,,,ENGL 25943 Radical Documentary
,,,,,,,,,,ENGL 25944 Lines of Transmission: Comics and Autobiography
,,,,,,,,,,ENGL 25945 Digital Storytelling
,,,,,,,,,,ENGL 25946 Retailing Bodies: Anomalous Embodiment in American Reality TV
